"ID";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21"
"10009";10;11;12;7;10;20;19;20;16;20;14;13;14;5;9;29;27;29;23;25;0
"10017";16;15;15;15;15;15;15;16;16;16;25;18;20;21;16;22;21;22;22;6;0
"10025";3;4;1;10;10;5;0;4;7;6;3;1;0;8;9;3;0;0;12;5;0
"10041";10;20;20;20;20;20;20;20;20;1;14;39;31;30;30;29;30;30;15;0;0
"10059";10;10;5;15;1;3;12;10;5;8;14;10;4;15;1;2;9;7;6;5;0
"10067";8;15;5;20;1;13;15;14;14;16;13;11;5;22;1;16;16;17;18;6;0
"10075";20;20;15;20;15;13;17;15;20;15;41;25;23;27;19;16;22;20;24;9;0
"10083";20;20;20;20;20;20;20;20;20;0;41;25;31;29;30;29;30;30;15;0;0
"10091";3;3;1;3;2;4;3;3;3;3;3;1;0;2;1;3;3;2;1;1;0
"10116";7;7;8;6;10;7;7;8;7;12;8;11;8;6;8;6;4;5;5;12;0
"10140";3;5;1;0;2;1;0;0;1;1;3;4;0;0;4;0;0;0;2;1;0
"10158";10;11;10;7;10;7;11;5;15;6;14;13;11;9;8;8;10;3;15;3;0
"10174";20;12;20;18;10;3;17;10;20;10;41;20;33;29;11;3;20;11;24;7;0
"10182";12;20;20;20;20;20;20;20;20;20;19;32;28;30;30;30;30;30;23;20;0
"10207";6;6;12;15;15;10;12;20;16;5;8;5;16;21;17;13;13;24;15;1;0
"10215";15;5;7;6;7;7;2;7;1;9;25;4;6;4;3;6;0;4;1;7;0
"10223";5;8;10;16;18;19;15;19;12;18;8;13;15;28;34;31;25;22;18;20;0
"10265";10;14;15;15;15;6;18;15;15;15;14;20;24;25;23;7;20;19;20;5;0
"10281";10;15;3;8;16;7;0;19;0;11;14;16;4;10;22;10;0;0;0;8;0
"10299";12;14;8;11;6;8;11;6;7;12;19;19;9;11;7;9;11;4;4;11;0
