"ID";"NLL";"InvestorToM";"InvestorPlan";"InvestorGuilt";"InvestorAversion";"InvestorTemp";"InvestorIrrBelief";"InvestorIrritability";"IrrInd"
10009;7.69684516077712;0;4;0.4;1;1;3;0;0
10017;9.6761905780506;2;1;0;0.8;1;0;0;1
10025;8.99329794172693;4;2;0.4;1.6;1;1;0.25;1
10041;1.47151497930528;2;3;1;1.2;1;2;1;1
10059;11.1647803758692;2;2;1;1.4;0.333333333333333;3;1;1
10067;14.036623870426;4;3;1;1;0.25;1;1;1
10075;9.4591893093686;2;3;0.4;1;0.333333333333333;1;0;1
10083;0.011800714364343;4;4;1;0.4;1;1;1;1
10091;5.47252823264508;0;4;0.4;1.4;1;4;0;1
10116;7.53890275231748;4;2;1;1.6;0.5;0;0;1
10140;2.6995445839959;4;2;0.4;1.8;0.5;3;0.5;1
10158;5.98835362776357;4;1;1;1.8;0.5;4;0;1
10174;12.1055058891882;2;4;1;1.2;0.333333333333333;0;1;1
10182;1.23407689312665;4;1;1;0.8;1;1;0;1
10207;11.2384359380439;2;1;0.4;1.4;0.5;4;0;1
10215;11.8479760534033;4;1;0.4;1;1;2;0;0
10223;11.4984181150709;2;1;1;1;0.25;4;1;1
10265;12.5469017299678;2;1;0.4;1;0.25;4;0;1
10281;14.8382175182603;4;1;0.4;1.4;0.25;4;0.75;1
10299;10.0672333940474;4;3;1;1.8;0.333333333333333;2;0;0
10306;12.3540300569925;4;1;1;1.4;0.5;2;0;0
10314;9.30774837201364;2;3;1;1.8;0.5;4;0.5;1
10330;12.9152705660933;4;1;0.4;1.2;1;2;0;0
10356;4.39290159008246;4;1;1;1.8;0.5;4;1;1
10364;0.00128153209960105;2;4;1;0.4;1;1;0;1
10447;8.29968987122686;2;3;0.4;1.4;1;0;0;1
10520;5.42793063334838;4;3;1;0.6;0.25;2;1;1
10570;12.207813541072;4;1;1;1.6;0.25;4;1;1
10629;10.4959588984902;4;2;0.4;1.4;0.333333333333333;4;0;1
10679;12.9528240841625;4;4;1;1.6;0.25;3;0;1
10695;10.0247706038356;2;4;1;1.4;0.5;0;0;1
10702;12.0143714124475;4;2;1;1.6;0.333333333333333;4;0;1
10710;10.7155869278279;4;2;0.4;1.4;0.333333333333333;4;0;1
10728;0.786370591242193;4;3;1;0.8;1;4;0;1
10736;11.0647455062968;2;1;0.4;1.4;0.5;4;0;1
10744;10.9012331019477;2;4;1;1.6;0.333333333333333;3;0;1
10752;8.08466463171049;4;1;1;1.8;0.5;4;0;1
10778;0.917703514660097;2;1;0.4;0.8;1;3;0;1
10794;2.96547078523955;4;2;1;1.6;1;1;0;1
10801;8.62597330906735;0;1;0.4;1;1;0;0;0
10819;6.05229306075903;4;1;0.4;1.2;1;1;0;1
10827;6.7368518220227;2;4;0.4;1.8;1;2;0;1
10843;10.5765351157681;4;1;1;1.4;0.5;1;0;0
10869;9.76339339899831;2;1;0.4;1.2;0.5;3;0;1
10877;7.29132749674997;4;4;1;1.8;0.333333333333333;3;0;1
10893;10.7895933024227;0;4;0.4;1.2;1;3;0;0
10900;0.786370591242193;4;3;1;0.8;1;4;0;1
10918;11.5717183849041;0;1;1;1.8;0.25;2;0;1
10975;3.37148769618223;2;1;1;0.8;1;0;0;1
10983;3.90502300496885;4;2;0;0.8;1;0;0;1
11049;10.9119155835219;2;1;0.4;1;0.25;4;0;1
11064;5.17212665583476;4;2;1;1.8;0.5;0;0;1
11171;11.0404515215456;2;3;1;1.8;0.5;4;0;1
11239;11.1663611214608;4;2;1;1.6;0.5;4;0;1
11262;9.33054578918905;4;2;1;1.8;0.5;4;0;1
11296;7.5341159047548;2;3;1;1.2;0.5;0;0;1
11304;8.60752139825074;4;3;0;0.8;1;0;0;1
11312;11.4710578712229;2;1;0.4;1;0.25;4;0;0
11320;5.9507414660695;4;1;0.4;1.2;1;1;0;1
11338;6.46630591068303;0;4;0.4;1.2;1;3;0;1
11403;13.0248346513366;4;2;1;1.8;0.25;4;0.25;1
11429;6.23266387560412;0;2;0.4;1.4;1;3;0.25;1
11460;5.31764334547167;4;2;0;0.8;1;0;0;0
11486;9.81722034787737;2;2;0.4;1;0.333333333333333;3;0;1
11544;8.23320508164098;4;1;1;1.6;0.5;4;0.25;1
11551;9.67904385035878;4;1;1;1.8;0.333333333333333;4;0;1
11619;6.48029281000607;2;1;1;1.6;0.5;4;0;1
11627;3.12406013735377;2;1;1;1.4;1;0;0;1
