"","subject","mops_mat_abuse","mops_mat_indiff","mops_mat_control","mops_pat_abuse","mops_pat_indiff","mops_pat_control","apq_positive","apq_inconsistent","apq_poorsup","apq_involve","apq_punish","ELST1","ELSIT1"
"1",59386,0,0,4,0,0,2,12,7,5,9,3,-2.59295253697935,2.59295253697935
"2",21923,0,1,2,0,0,1,9,10,12,8,3,0.0378772281251758,-0.0378772281251758
"3",31104,0,0,2,0,0,1,11,7,3,10,3,-3.8002992922647,3.8002992922647
"4",25254,1,0,0,1,0,0,14,5,6,11,3,-5.02405832927651,5.02405832927651
"5",39545,0,0,1,0,0,0,13,7,5,14,3,-5.88875265579637,5.88875265579637
"6",39305,1,1,9,1,5,1,12,9,9,8,3,3.64474889794631,-3.64474889794631
"7",19588,2,0,9,3,0,9,9,10,11,8,3,4.99975758246989,-4.99975758246989
"9",16493,1,0,5,2,4,8,8,10,8,4,5,6.60195871206775,-6.60195871206775
"10",38174,0,0,1,0,0,1,10,3,4,11,3,-4.30270741855061,4.30270741855061
"11",15636,0,0,5,0,1,2,10,11,10,7,3,1.11204939823749,-1.11204939823749
"12",45625,0,0,1,0,0,1,12,4,11,10,3,-3.08877582593704,3.08877582593704
"13",41236,3,0,2,4,1,3,15,6,6,9,9,-0.596687273274996,0.596687273274996
"14",40931,1,1,6,0,8,0,9,12,13,7,3,6.48083965233596,-6.48083965233596
"18",47530,2,2,10,2,18,10,11,11,3,6,5,14.6858840398419,-14.6858840398419
"19",33308,5,1,8,4,3,8,5,8,8,8,5,8.16615355305746,-8.16615355305746
"20",24794,0,0,1,0,0,1,9,8,8,7,3,-1.2570053784029,1.2570053784029
"21",18630,2,3,1,0,8,0,9,6,9,7,3,4.27443470697543,-4.27443470697543
"22",23812,0,0,3,0,0,3,12,10,8,12,3,-2.60534024655041,2.60534024655041
"23",33969,0,0,3,0,0,2,13,4,6,8,3,-3.03481104195621,3.03481104195621
"24",30817,0,2,7,5,4,3,6,3,4,6,3,5.45460479564807,-5.45460479564807
"25",29926,1,1,4,0,1,1,12,10,5,8,5,-0.915204166378387,0.915204166378387
"26",13235,0,0,1,0,0,1,15,9,5,10,3,-4.81992056924535,4.81992056924535
"27",27417,0,0,1,0,0,0,12,4,4,11,3,-5.13550884978341,5.13550884978341
"28",17392,14,2,8,1,1,0,10,8,10,8,15,5.8271449742171,-5.8271449742171
"29",25882,0,7,5,0,16,0,5,3,3,10,3,9.47670442951861,-9.47670442951861
"30",18101,3,8,2,5,1,6,4,7,8,11,6,5.99491287637094,-5.99491287637094
"31",34975,0,1,3,0,1,2,12,6,7,11,3,-2.3686383219398,2.3686383219398
"32",33258,2,1,8,1,0,4,10,6,8,6,3,2.22220963029484,-2.22220963029484
"33",36434,0,0,3,4,6,8,11,5,9,9,3,4.45808694866567,-4.45808694866567
"36",11460,1,1,5,3,4,4,5,3,9,6,3,5.78701045992262,-5.78701045992262
"37",59287,1,0,6,0,2,5,13,7,10,5,3,2.06692643851589,-2.06692643851589
"38",39255,1,0,0,0,0,2,9,6,8,7,3,-1.3129291569049,1.3129291569049
"39",47035,2,2,4,2,1,2,8,7,6,5,4,2.60522677172695,-2.60522677172695
"40",22467,1,1,5,0,0,3,14,3,5,14,3,-4.35189434153003,4.35189434153003
"41",18333,3,2,5,2,2,1,6,8,9,4,3,5.06089174313387,-5.06089174313387
"42",32102,1,0,3,0,0,0,14,5,7,11,3,-4.32155666865609,4.32155666865609
"43",30585,0,0,2,1,5,6,4,5,8,4,4,5.9842650756433,-5.9842650756433
"44",19653,0,0,1,1,0,2,11,6,9,8,3,-1.68984289280295,1.68984289280295
"45",14415,7,2,6,9,2,7,9,9,8,5,3,8.65018275054482,-8.65018275054482
"46",44610,0,0,0,0,0,0,12,3,6,9,3,-4.46909144647578,4.46909144647578
"47",29777,0,0,1,7,14,4,12,9,7,8,3,8.55742139620939,-8.55742139620939
"48",20560,6,7,9,3,7,3,7,10,10,5,5,11.8353431557433,-11.8353431557433
"49",29769,0,0,2,0,0,1,12,5,3,11,3,-4.69804279189602,4.69804279189602
"50",10025,1,1,3,0,0,2,13,5,7,12,3,-3.52621396899913,3.52621396899913
"51",30544,1,2,7,1,2,5,11,7,10,11,5,2.21955164781278,-2.21955164781278
"52",17152,0,0,0,0,0,1,14,4,5,11,3,-5.64779251688458,5.64779251688458
"53",19661,3,1,7,2,0,6,12,9,8,10,4,1.47855644769241,-1.47855644769241
"54",46995,2,2,3,1,4,3,11,10,10,9,3,2.70835717982385,-2.70835717982385
"55",29231,2,2,7,7,6,3,9,10,7,7,3,7.78252717258147,-7.78252717258147
"57",11890,6,4,8,1,0,1,9,6,8,5,3,3.72732846125723,-3.72732846125723
"58",13045,0,0,3,1,0,3,10,7,5,10,3,-1.89672227461321,1.89672227461321
"60",38117,0,0,2,0,0,2,13,8,7,10,3,-3.28564854087209,3.28564854087209
"61",30031,1,1,9,1,1,5,8,3,8,10,5,2.4232486147288,-2.4232486147288
"62",33787,0,0,2,0,0,0,8,4,8,10,3,-2.30248540621564,2.30248540621564
"64",10778,0,1,1,0,1,1,13,4,6,9,3,-3.32935239609558,3.32935239609558
"65",31112,6,6,5,1,3,3,7,11,6,11,3,4.57302800074204,-4.57302800074204
"66",20321,0,0,4,2,0,1,6,7,12,5,4,2.80535878936257,-2.80535878936257
"67",20040,1,0,2,1,0,3,10,3,3,13,3,-3.81726963763143,3.81726963763143
"68",38992,0,0,2,0,2,0,14,3,11,9,3,-2.39779518775989,2.39779518775989
"70",26112,0,0,2,0,0,2,14,3,5,11,3,-4.94925109591018,4.94925109591018
"71",14423,1,2,2,2,4,0,10,7,5,6,3,1.72864628417998,-1.72864628417998
"72",10520,0,0,0,0,0,0,15,9,7,13,3,-5.89295747358268,5.89295747358268
"73",24000,0,0,1,0,0,1,13,3,4,13,3,-5.986004551976,5.986004551976
"74",14647,0,0,5,0,9,3,5,7,4,6,3,6.31139128644192,-6.31139128644192
"75",16105,7,10,6,5,6,4,9,10,9,9,10,10.7328004266602,-10.7328004266602
"76",22186,0,0,0,0,0,0,14,5,7,13,3,-6.00514733941992,6.00514733941992
"77",14001,3,0,9,1,0,4,14,10,8,6,6,1.84751811141887,-1.84751811141887
"78",18408,0,0,2,0,0,2,11,9,9,9,3,-1.73423585167125,1.73423585167125
"79",12534,12,12,11,12,12,11,4,7,10,3,8,24.6421296445388,-24.6421296445388
"80",28589,0,0,1,0,0,2,10,7,3,12,3,-4.12119779166466,4.12119779166466
"81",38406,0,0,2,0,0,1,14,9,4,13,5,-5.13923548519421,5.13923548519421
"82",29165,0,0,1,0,0,1,14,6,7,13,3,-5.35714887287935,5.35714887287935
"83",43885,0,1,4,1,12,0,12,6,9,8,5,5.70302131963252,-5.70302131963252
"84",12567,1,0,2,0,0,0,10,8,5,9,3,-2.64740010930745,2.64740010930745
"85",29447,2,2,8,1,1,5,8,11,7,10,5,3.31627453651737,-3.31627453651737
"87",46904,0,0,0,0,0,1,14,3,3,12,3,-6.50413363615883,6.50413363615883
"88",24059,0,0,3,0,0,0,13,5,7,9,4,-3.42285936002824,3.42285936002824
"89",32235,2,1,5,2,2,2,5,7,7,7,3,3.69954509561898,-3.69954509561898
"90",43968,4,2,8,9,12,3,7,3,11,5,3,13.9968500042367,-13.9968500042367
"92",25270,0,0,4,1,1,8,10,5,6,7,3,1.16514123916293,-1.16514123916293
"93",40642,0,0,2,3,5,0,9,10,10,9,6,3.04742271203735,-3.04742271203735
"95",20115,0,0,2,0,0,1,11,5,5,11,3,-3.92944218962636,3.92944218962636
"96",42242,3,11,6,4,5,6,3,7,7,5,4,11.6963262436417,-11.6963262436417
