"ID";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21"
"10009";12;15;10;20;12;11;12;20;20;20;19;19;12;26;15;11;14;24;31;30;0
"10017";10;14;17;16;15;16;16;15;15;15;14;20;23;24;16;23;22;20;20;5;0
"10041";15;20;10;12;10;8;0;10;20;20;25;19;15;11;7;4;0;0;35;15;0
"10059";5;10;8;12;10;12;15;11;15;15;8;12;10;12;13;13;21;14;21;14;0
"10067";20;20;20;20;20;20;20;20;20;15;41;25;31;29;30;29;30;30;15;12;0
"10075";20;20;18;20;19;18;17;18;17;0;41;25;28;29;27;24;25;26;25;0;0
"10083";20;20;20;20;20;20;20;20;20;0;41;25;31;29;30;29;30;30;15;0;0
"10091";10;10;15;15;8;10;20;20;15;15;14;10;20;16;8;10;31;24;21;6;0
"10116";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"10140";5;10;8;3;5;5;4;12;3;4;8;12;10;3;4;4;2;7;2;1;0
"10158";15;15;10;10;20;5;10;15;0;5;25;20;13;11;27;3;8;16;0;4;0
"10174";10;10;12;10;2;6;20;10;5;8;14;10;14;9;0;3;24;7;3;3;0
"10182";12;20;20;20;10;15;16;17;14;10;19;32;28;30;10;17;23;23;18;10;0
"10207";15;20;15;15;19;19;20;20;20;5;25;19;18;20;27;28;30;30;15;4;0
"10215";16;15;15;18;8;7;8;5;15;2;25;18;20;25;9;6;6;2;8;1;0
"10223";10;15;12;20;18;18;19;19;17;20;14;16;16;28;26;26;31;28;25;30;0
"10265";16;16;17;10;20;19;19;19;19;17;25;23;24;13;29;28;28;28;21;17;0
"10281";5;20;12;20;5;10;1;6;20;0;8;44;15;26;8;11;1;7;15;0;0
"10306";10;12;14;15;16;18;20;20;20;20;14;15;20;25;23;27;29;30;22;18;0
"10447";1;2;0;3;1;4;1;1;10;10;1;2;0;4;2;2;1;1;5;4;0
"10520";8;7;2;10;8;8;12;0;2;0;13;11;2;7;5;6;11;0;3;0;0
"10695";10;10;12;20;16;12;5;15;20;13;14;10;14;22;20;13;4;22;24;11;0
"10702";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"10710";10;10;12;8;8;6;10;6;5;8;14;10;14;10;8;6;7;3;4;7;0
"10728";20;20;20;20;20;20;20;20;20;10;41;25;31;29;30;29;30;30;15;5;0
"10736";7;10;10;10;13;12;10;10;10;6;8;10;13;10;14;13;10;11;9;2;0
"10744";10;15;12;13;11;9;8;10;13;7;14;16;16;13;10;7;6;8;11;6;0
"10794";7;11;8;10;8;12;7;9;7;14;8;9;8;9;8;12;5;9;7;14;0
"10801";10;16;20;20;15;10;20;15;10;0;14;24;35;24;17;11;24;18;11;0;0
"10819";5;5;3;10;8;5;5;10;2;1;8;9;5;11;5;1;1;4;0;0;0
"10827";10;11;12;11;10;10;9;6;3;2;14;13;14;9;11;10;7;5;3;2;0
"10843";8;12;13;14;15;12;13;15;12;8;13;15;17;22;22;18;19;21;12;8;0
"10869";10;11;11;10;9;10;15;15;20;15;14;13;13;9;10;9;18;20;30;9;0
"10893";6;6;1;12;18;20;15;17;10;19;8;5;1;16;25;27;22;24;10;22;0
"10900";20;20;19;20;20;20;20;20;20;20;41;25;29;29;30;29;30;30;15;24;0
"10918";14;14;10;12;4;3;15;11;5;0;16;18;11;13;6;2;19;12;6;0;0
"10975";20;20;20;20;20;20;20;20;20;0;41;25;31;29;30;29;30;30;15;0;0
"10983";20;20;20;20;20;20;20;20;20;17;41;25;31;29;30;29;30;30;15;19;0
"11049";17;18;17;18;19;20;20;20;20;20;26;21;24;27;28;31;30;30;30;25;0
"11064";5;7;9;9;10;8;5;3;2;4;8;10;13;11;11;7;3;2;1;3;0
"11171";5;4;3;4;1;1;0;1;0;0;8;6;5;4;1;1;0;0;0;0;0
"11239";16;18;14;15;13;10;11;14;19;20;25;13;19;17;15;10;13;16;27;29;0
"11262";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"11296";8;11;8;10;11;8;8;6;7;3;13;15;10;10;13;7;6;3;3;1;0
"11304";15;20;15;16;15;18;18;20;19;18;25;19;18;22;20;26;26;30;21;16;0
"11320";6;8;6;8;5;4;4;5;3;4;8;15;8;7;2;2;3;3;2;3;0
"11403";10;15;14;20;20;20;20;20;20;0;14;16;16;28;29;29;29;30;22;0;0
"11429";5;8;10;11;10;5;3;5;5;6;8;13;15;14;11;5;1;4;4;5;0
"11486";12;17;20;20;0;0;10;10;0;0;19;23;29;30;0;0;12;0;0;0;0
"11551";10;8;12;10;8;5;8;6;10;5;14;13;19;11;8;3;4;2;2;2;0
"11627";11;12;9;10;9;11;6;8;7;7;16;15;11;10;12;15;4;8;5;4;0
"11635";6;7;5;8;3;4;5;7;2;4;8;8;5;6;2;1;5;5;1;2;0
"11718";2;3;1;1;1;0;0;0;1;1;2;1;0;1;0;0;0;0;2;1;0
"11858";10;15;5;10;15;20;20;20;19;20;14;16;6;8;21;28;29;29;21;18;0
"11882";10;11;12;12;10;12;13;15;15;10;14;13;14;13;11;14;18;20;20;9;0
"11932";10;10;10;10;10;10;10;10;10;10;14;10;10;7;13;12;10;11;9;10;0
"11940";15;15;14;20;20;20;15;20;15;10;25;20;18;28;29;29;25;19;19;9;0
"11965";10;12;8;11;3;10;0;0;0;1;14;15;8;7;1;5;0;0;0;1;0
"11981";8;8;9;12;15;16;16;16;16;16;13;12;12;17;21;23;22;23;23;6;0
"12005";10;10;10;10;10;10;10;10;10;10;14;10;10;7;13;12;10;11;9;10;0
"12013";4;4;5;6;10;7;1;11;1;2;5;4;5;4;10;4;1;8;1;2;0
"12070";5;8;13;10;14;16;5;8;15;10;8;13;25;12;19;14;3;10;22;13;0
"12096";15;16;20;15;20;16;18;15;15;20;25;22;29;20;29;22;25;21;22;16;0
"12161";6;7;8;10;0;5;2;0;0;1;8;8;9;8;0;2;2;0;0;1;0
"12203";15;15;17;20;20;20;20;20;20;20;25;20;24;30;29;30;30;30;23;20;0
"12211";6;8;7;8;8;9;7;8;9;8;8;15;9;8;8;8;6;6;8;6;0
"12260";10;11;12;12;8;11;12;13;13;7;14;13;14;13;11;13;16;15;12;5;0
"12302";10;9;11;7;10;9;12;6;10;8;14;11;12;6;11;10;12;4;9;6;0
"12310";10;10;10;10;3;12;10;1;10;15;14;10;10;7;1;9;10;0;4;12;0
"12385";11;8;12;7;9;3;2;10;1;9;16;8;12;4;6;0;0;4;0;1;0
"12393";15;18;7;12;6;3;10;5;1;13;25;16;11;11;5;1;4;1;0;10;0
"12435";10;10;10;8;7;8;13;15;12;8;14;10;10;10;7;8;16;19;10;6;0
"12500";6;7;10;20;0;5;9;20;0;1;8;8;14;29;0;2;11;0;0;1;0
"12526";5;5;5;20;5;2;7;15;4;10;8;9;8;22;8;2;5;16;3;9;0
"12534";6;12;12;15;12;12;11;11;11;5;8;12;13;17;13;13;12;12;10;3;0
"12542";10;12;10;10;6;8;6;2;5;2;14;15;11;10;7;8;3;1;2;1;0
"12567";4;6;8;8;9;9;10;10;8;9;5;6;8;7;8;8;10;9;7;6;0
"12591";15;15;15;12;10;20;15;20;10;10;25;20;18;14;11;28;22;22;14;10;0
"12682";12;16;11;13;11;2;13;10;7;13;19;21;15;14;11;2;13;8;8;15;0
"12690";18;20;20;19;20;20;20;20;20;18;25;31;28;28;30;30;30;30;23;17;0
"12757";10;10;6;4;10;5;10;8;8;10;14;10;6;4;8;5;7;6;7;9;0
"12773";8;9;8;13;7;10;6;8;1;6;13;13;11;13;9;12;4;8;1;4;0
"12799";14;13;15;14;15;13;14;14;13;11;16;17;19;20;16;18;18;19;11;12;0
"12831";12;9;12;8;9;11;11;12;7;11;19;9;12;8;10;12;11;13;6;7;0
"12849";20;10;2;20;10;15;5;10;0;5;41;16;2;21;13;17;2;12;0;4;0
"12948";10;10;12;14;20;20;20;20;20;15;14;10;14;19;28;29;29;29;22;14;0
"13078";10;9;8;12;5;10;13;3;2;3;14;11;8;12;4;10;11;0;0;1;0
"13128";4;5;3;15;20;14;20;20;18;19;5;5;4;19;36;19;29;29;27;28;0
"13144";10;10;7;10;9;9;10;10;9;8;14;10;9;9;10;8;10;9;7;5;0
"13169";6;6;8;8;8;6;12;5;10;4;8;5;8;7;5;3;11;4;4;1;0
"13177";10;15;5;7;10;9;15;5;10;3;14;16;6;6;13;11;17;4;14;1;0
"13276";5;5;6;6;4;2;10;1;1;5;8;9;9;7;3;1;5;1;0;2;0
"13284";10;10;15;15;10;5;10;5;5;5;14;10;20;16;11;5;7;3;2;2;0
"13300";10;12;7;10;5;4;6;6;8;4;14;15;8;9;2;3;2;2;2;2;0
"13441";15;20;5;15;4;5;10;15;5;10;25;19;8;13;2;0;6;14;5;9;0
"13458";7;5;15;10;6;4;5;2;6;1;8;4;18;5;3;3;1;1;2;0;0
"13615";15;17;15;13;14;13;20;12;12;13;25;18;19;16;13;17;26;17;13;7;0
"13698";8;12;12;13;12;10;11;12;10;9;13;15;16;15;13;10;13;11;9;5;0
"13706";12;14;15;14;12;8;8;6;8;5;19;19;22;22;15;7;5;3;4;3;0
"13979";5;5;6;6;6;4;7;0;5;5;8;9;9;7;5;2;3;0;9;4;0
"13995";5;7;10;12;16;18;14;20;20;0;8;10;14;16;21;23;17;22;31;0;0
"14027";4;5;4;6;5;10;4;1;0;3;5;5;4;5;2;6;1;0;0;2;0
"14092";10;15;16;18;20;20;20;20;20;0;14;16;18;25;30;29;30;30;15;0;0
"14159";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"14175";10;11;12;13;15;17;20;20;20;20;14;13;14;16;18;22;27;29;28;22;0
"14266";2;4;4;0;1;4;6;2;8;5;2;1;0;0;2;2;7;1;3;1;0
"14399";5;10;15;20;7;11;4;2;10;15;8;12;22;23;8;10;2;0;4;11;0
"14449";8;12;15;17;16;17;19;20;20;15;13;15;21;22;23;24;28;30;22;14;0
"14464";9;7;10;14;16;17;14;13;8;13;12;10;15;22;23;25;20;11;7;12;0
"14522";15;16;15;10;16;10;10;12;11;10;25;22;18;10;16;11;11;13;10;8;0
"14548";8;10;11;11;11;10;10;10;10;9;13;13;16;12;11;10;10;10;9;9;0
"14563";10;12;5;10;12;15;8;12;8;6;14;15;5;9;17;15;4;15;7;4;0
"14589";5;7;6;5;8;3;2;3;4;5;8;10;8;4;5;1;3;2;2;3;0
"14852";15;11;16;10;6;12;5;10;6;1;25;11;22;7;4;9;1;10;4;0;0
"14878";10;10;12;13;18;20;10;12;20;20;14;10;14;16;25;27;11;7;26;25;0
"15032";8;10;5;5;2;8;3;3;4;5;13;13;5;4;1;7;2;1;3;4;0
"15057";10;12;9;13;5;11;15;11;18;20;14;15;12;10;7;16;22;15;27;29;0
"15065";10;12;15;14;16;16;18;18;19;20;14;15;21;22;23;23;26;26;21;20;0
"15099";8;7;8;6;8;4;10;7;5;7;13;11;12;6;7;1;6;1;1;1;0
"15198";13;13;13;14;15;15;14;13;20;18;19;16;17;23;22;22;20;19;31;19;0
"15230";11;12;10;11;8;10;11;9;15;3;16;15;11;11;12;11;13;9;15;4;0
"15263";20;20;20;20;20;20;20;20;20;4;41;25;31;29;30;29;30;30;15;3;0
"15289";19;16;19;19;19;19;18;19;19;10;26;22;26;28;28;27;26;28;21;8;0
"15420";5;10;11;15;20;20;20;20;20;15;8;12;15;25;30;30;30;30;23;14;0
"15438";10;5;15;15;20;20;20;20;20;2;14;7;22;21;30;30;30;30;23;2;0
"15552";10;12;16;18;15;10;15;10;20;20;14;15;23;20;19;10;19;11;30;26;0
"15560";2;4;3;6;5;6;10;6;2;6;2;1;0;6;3;5;5;2;0;0;0
"15636";13;15;8;3;14;12;1;20;10;10;19;19;6;1;16;10;1;23;13;10;0
"15743";14;8;14;6;6;13;8;1;4;3;16;11;15;5;2;6;4;1;2;1;0
"15842";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"15859";15;10;18;14;9;8;19;13;9;17;25;10;25;19;7;7;20;17;9;20;0
"15875";5;6;7;9;7;5;5;6;2;4;8;10;11;12;6;4;2;3;2;3;0
"15958";20;20;20;20;20;20;20;20;20;15;41;25;31;29;30;29;30;30;15;12;0
"16121";3;4;2;1;2;4;5;2;6;3;3;1;0;1;1;3;5;1;4;3;0
"16147";10;10;10;10;10;10;10;10;10;10;14;10;10;7;13;12;10;11;9;10;0
"16220";10;12;10;11;10;10;10;10;11;9;14;15;11;11;15;12;11;10;10;9;0
"16261";10;10;10;10;7;8;12;10;10;9;14;10;10;7;7;7;12;10;9;9;0
"16279";10;12;14;14;16;16;16;14;14;16;14;15;20;24;24;23;23;21;19;5;0
"16345";4;4;2;3;4;1;0;1;2;2;5;4;3;2;2;0;0;0;3;2;0
"16436";16;17;18;20;19;20;20;20;20;16;25;25;26;33;28;30;30;30;23;16;0
"16451";10;15;7;20;10;15;20;5;10;13;14;16;10;26;12;17;29;3;13;14;0
"16519";8;8;12;14;5;13;14;14;10;16;13;12;19;18;7;19;24;21;14;15;0
"16568";10;4;5;10;2;1;0;2;0;3;14;6;4;12;1;0;0;0;0;2;0
"16584";1;2;5;6;9;9;8;2;1;4;1;2;8;10;8;10;5;0;0;1;0
"16592";12;20;18;14;17;13;13;14;14;12;19;32;25;21;19;17;16;19;12;10;0
"16600";20;18;20;20;20;20;10;20;15;20;41;23;31;30;30;29;12;19;14;20;0
"16618";20;20;20;20;20;20;20;20;20;20;41;25;31;29;30;29;30;30;15;24;0
"16634";8;9;5;6;9;3;11;0;1;2;13;13;5;5;7;0;7;0;2;2;0
"16733";20;20;20;20;20;20;20;20;20;19;41;25;31;29;30;29;30;30;15;22;0
