"ID";"NLL";"InvestorToM";"InvestorPlan";"InvestorGuilt";"InvestorAversion";"InvestorTemp";"InvestorIrrBelief";"InvestorIrritability";"IrrInd"
10009;11.5019484443747;2;1;1;1;0.333333333333333;0;0;0
10017;10.646732658394;2;1;0.4;1.2;0.5;3;0;1
10041;14.3139559791321;2;1;1;1.2;0.333333333333333;2;0.25;1
10059;10.0354601427073;2;1;1;1.4;0.5;3;0;0
10067;0.917703514660097;2;1;0.4;0.8;1;3;0;1
10075;3.73489101558937;4;3;0;0.8;0.333333333333333;4;0;1
10083;0.011800714364343;4;4;1;0.4;1;1;1;1
10091;11.1500654093369;2;1;0.4;1;1;0;0;1
10116;0.00128153209960105;2;4;1;0.4;1;1;0;1
10140;6.62965963020412;4;4;1;1.8;0.5;0;0;1
10158;13.6583860403207;2;3;1;1.8;0.25;4;0.25;1
10174;12.3265642435329;2;1;1;1.6;0.333333333333333;4;0.25;1
10182;11.5913448193148;2;1;0.4;1;1;0;0;1
10207;3.23268631721607;4;2;0.4;1.4;1;4;0;1
10215;13.499696870089;4;4;0.4;1;0.333333333333333;0;1;1
10223;8.14253677689684;4;2;1;1.2;0.333333333333333;2;0;1
10265;8.82165720752413;2;1;0.4;0.8;0.25;3;0;1
10281;12.9227962650082;2;1;1;1.2;0.25;4;1;1
10306;6.33897433348035;2;1;0.4;1;0.5;2;0;1
10447;10.5163289375469;0;4;0;1.2;0.25;3;0;0
10520;9.71423667565547;4;2;0.4;1.8;1;4;0;1
10695;12.5641807949123;2;1;0.4;1.2;0.5;1;0;1
10702;0.00128153209960105;2;4;1;0.4;1;1;0;1
10710;5.65584139834631;4;4;1;1.8;0.5;3;0;1
10728;0.786370591242193;4;3;1;0.8;1;4;0;1
10736;5.65154880989684;2;1;1;1.6;1;3;0;1
10744;7.96759675983582;2;1;1;1.4;0.5;4;0;1
10794;9.32471950473398;2;4;1;1.6;0.5;0;0;0
10801;10.1101108665302;2;2;0.4;1.4;0.5;4;0;1
10819;7.57106726645297;0;2;1;1.2;1;3;0.25;1
10827;5.91560361106331;4;3;0.4;1.6;1;1;0;1
10843;10.6369979246702;4;2;1;1.8;0.5;4;0;1
10869;8.08566934387031;2;1;1;1.2;0.5;1;0;1
10893;14.899617181612;4;1;0.4;1;0.25;2;0;0
10900;0.00128153209960105;2;4;1;0.4;1;1;0;1
10918;12.9396168702197;2;3;0.4;1.6;1;4;0;1
10975;0.011800714364343;4;4;1;0.4;1;1;1;1
10983;0.917703514660097;2;1;0.4;0.8;1;3;0;1
11049;2.67280774807363;4;1;0.4;1;1;2;0;0
11064;8.41376786359047;4;2;0.4;1.6;1;3;0;1
11171;2.96969635841537;4;1;0.4;1.6;1;4;0.5;1
11239;11.8900673152301;2;1;1;0.8;0.25;2;0;1
11262;0.00128153209960105;2;4;1;0.4;1;1;0;1
11296;4.18805698465701;4;4;1;1.8;1;2;0;1
11304;6.13842273593362;2;1;0.4;1;0.5;3;0;1
11320;4.19009456162128;2;3;1;1.8;1;1;0;1
11403;4.13722877938902;4;1;0.4;0.6;1;0;1;1
11429;3.97598894337512;4;1;1;1.2;1;1;0;1
11486;10.5777534291918;4;4;0.4;1.8;0.333333333333333;4;0.25;1
11551;5.82365333052654;4;4;1;1.8;0.333333333333333;3;0;1
11627;4.3483262842286;4;3;1;1.8;0.5;2;0;0
11635;6.24562185241871;0;4;0.4;1.2;1;3;0;1
11718;1.40802127340003;0;4;0.4;1.6;1;4;1;1
11858;6.62544427919241;0;1;0.4;0.8;1;3;0;1
11882;7.36763845526362;2;1;1;1.4;0.5;4;0;1
11932;3.73147347044204;2;4;1;1.6;1;3;0;1
11940;8.87752778199757;2;2;0.4;1.2;0.5;2;0;1
11965;4.55363037037937;4;1;0.4;1.4;1;4;0.25;1
11981;7.52286346420697;2;1;0.4;1.2;0.5;3;0;0
12005;3.73147347044204;2;4;1;1.6;1;3;0;1
12013;9.58495559008218;4;2;1;1.8;0.333333333333333;4;0.25;1
12070;12.9774246340429;2;1;1;1.6;0.25;4;0;1
12096;9.47218035267511;2;1;0;0.8;1;0;0;0
12161;5.74832359577473;4;3;0.4;1.8;1;3;1;1
12203;3.90502300496885;4;2;0;0.8;1;0;0;1
12211;7.53685821695544;2;1;1;1.6;0.5;2;0;1
12260;5.2944667171527;2;1;0.4;1.2;1;3;0;1
12302;6.87605627550116;4;3;1;1.8;0.5;2;0;0
12310;12.4130025737073;2;2;1;1.4;0.5;1;0.25;1
12385;9.8430666922148;4;3;1;1.8;0.5;3;0.25;1
12393;14.401086394855;0;4;1;1.4;0.25;0;0.25;1
12435;8.0503366657731;4;2;1;1.6;0.5;3;0;1
12500;12.3109464176345;4;2;0.4;1.4;0.333333333333333;3;1;1
12526;13.514728514468;4;2;1;1.8;0.25;4;0;1
12534;5.79695383830498;2;2;1;1.8;0.5;4;0;1
12542;6.02546743161054;4;4;1;1.8;0.5;1;0.5;1
12567;4.73805550720785;2;1;1;1.6;1;2;0;1
12591;11.4358152962713;2;2;1;1.6;0.333333333333333;4;0;1
12682;13.4928583040851;4;2;1;1.4;0.25;3;0.5;1
12690;0.000821218465076034;2;4;1;0.4;1;1;0;1
12757;6.4977995061013;4;1;1;1.8;0.5;4;0;1
12773;9.46571785503738;2;1;1;1.8;0.333333333333333;4;0.5;1
12799;10.4132707152643;2;2;0.4;1;0.333333333333333;3;0;1
12831;4.16977962402819;4;3;1;1.6;1;1;0;1
12849;13.7677264091133;4;4;0.4;1.8;0.333333333333333;4;0;1
12948;5.37286033791873;2;2;1;1.2;0.5;1;0;1
13078;8.01622150790016;4;4;1;1.6;0.5;1;0.25;1
13128;7.72490989527095;4;1;0.4;1;1;0;0;0
13144;6.13230837583894;2;2;1;1.6;0.5;1;0;1
13169;5.0161580442294;2;1;1;1.6;1;2;0;1
13177;11.0748092858954;4;3;1;1.8;0.333333333333333;3;0;0
13276;7.16337746104423;4;1;1;1.8;0.5;3;0.25;1
13284;9.11862533902874;4;4;1;1.8;0.5;3;0;1
13300;5.90844556877786;4;1;1;1.2;1;2;0;1
13441;13.5108189793805;4;1;1;1.4;0.25;4;0;1
13458;10.0769697214093;2;2;0.4;1.6;1;4;0;1
13615;12.3105108355461;4;3;1;1.8;0.5;4;0;1
13698;5.38707481789371;2;4;1;1.4;0.5;1;0;1
13706;10.929585428719;2;3;1;1.8;0.5;4;0;1
13979;4.46592337915553;0;1;0.4;1.4;1;0;0;0
13995;12.1924991067016;2;1;0.4;1.2;0.5;4;0;1
14027;4.76229322826065;4;4;1;1.6;1;0;0.25;1
14092;4.17626398660031;4;1;0.4;0.6;1;0;1;1
14159;0.00128153209960105;2;4;1;0.4;1;1;0;1
14175;7.21541680342743;0;2;0.4;0.8;1;3;0;0
14266;9.50831608828833;2;1;0.4;1.6;0.5;1;0;1
14399;14.4804657437403;4;1;1;1.6;0.25;2;0.25;1
14449;9.00402157128585;2;1;0.4;1.2;0.5;2;0;1
14464;11.6188861956316;4;2;0.4;1.6;0.333333333333333;4;0;1
14522;10.9469344724403;2;3;1;1.8;0.5;4;0;1
14548;3.55272341741064;2;4;1;1.6;0.5;1;0;1
14563;5.92307541152637;2;2;1;1.6;1;4;0;1
14589;4.4081100832517;2;1;1;1.4;1;0;0.5;1
14852;11.7551665980337;4;3;0.4;1.8;0.5;4;0;1
14878;10.6325535508596;2;1;1;1;0.5;0;0;1
15032;8.71951882143082;2;1;0.4;1.4;1;4;0;1
15057;10.3592454828024;0;4;0.4;1;1;3;0;1
15065;8.62315786451798;2;1;0.4;1;0.333333333333333;3;0;1
15099;6.50293804109495;4;4;1;1.6;0.5;0;0;1
15198;7.96677326996137;2;1;0;0.8;1;0;0;1
15230;2.91943129902745;2;1;1;1.4;1;3;0;1
15263;0.0494309253744953;2;4;1;1.2;1;3;0;1
15289;1.89668301371845;4;3;0.4;0.8;1;3;0;1
15420;7.32802415269837;2;1;0.4;1.2;1;2;0;1
15438;5.679003391951;4;1;0.4;0.8;1;0;1;1
15552;11.8561655085168;4;1;1;1.2;0.333333333333333;1;0;0
15560;7.4677781296147;4;2;0.4;1.4;1;0;0;1
15636;15.1230907546495;4;4;0.4;1.2;0.333333333333333;0;0;1
15743;11.9695413901055;4;4;0.4;1.4;0.5;0;0;1
15842;0.00128153209960105;2;4;1;0.4;1;1;0;1
15859;12.6137532288697;2;3;1;1.6;0.333333333333333;4;0;1
15875;5.84655208994627;4;1;1;1.8;0.5;3;0.5;1
15958;0.917703514660097;2;1;0.4;0.8;1;3;0;1
16121;5.39114451702488;0;2;0.4;1.4;1;3;0.75;1
16147;3.73147347044204;2;4;1;1.6;1;3;0;1
16220;3.6999995584365;2;4;1;1.6;0.5;1;0;1
16261;6.17154085807297;2;1;1;1.8;0.5;4;0;1
16279;11.5630664072512;2;1;0.4;1;0.25;4;0;0
16345;4.06059089376346;2;2;0.4;1.6;1;2;0.5;1
16436;3.06722820355546;2;1;0;0.8;0.5;2;0;1
16451;13.9215292143092;4;3;1;1.6;0.25;2;0;1
16519;11.6473486583434;2;3;0.4;1.4;0.5;1;0;1
16568;7.54050596649267;2;2;1;1.8;0.333333333333333;4;1;1
16584;7.6658452993704;2;4;0.4;1.6;1;3;0.5;1
16592;11.247393746044;4;2;0.4;1.4;0.333333333333333;4;0;1
16600;2.84901288007993;4;1;1;0.6;0.333333333333333;4;0;1
16618;0.00128153209960105;2;4;1;0.4;1;1;0;1
16634;6.22317225862131;2;2;1;1.6;1;1;0.25;1
16733;0.00128153209960105;2;4;1;0.4;1;1;0;1
16790;8.88602495515357;2;1;0.4;0.8;0.25;3;0;1
16832;4.0330989262009;4;1;1;1.8;1;3;0;0
16907;5.789618254288;4;2;0;0.6;1;0;0;1
16964;8.97775494398578;2;1;1;1.8;0.333333333333333;4;0;1
17046;0.011800714364343;4;4;1;0.4;1;1;1;1
17095;9.09748637085128;4;1;1;1.2;0.333333333333333;4;0;1
17103;10.9623946391501;2;2;1;1.2;0.333333333333333;4;0.5;1
17285;6.68886669355217;2;3;1;1.6;0.5;0;0;1
17392;8.74113488973695;2;1;1;1;0.5;0;0;0
17558;11.1127558868516;4;2;1;1.6;0.333333333333333;3;0;1
17657;3.89022696934256;2;4;1;1.6;1;1;0;1
17954;5.93461211511369;2;1;1;1.6;1;2;0;1
18010;11.6446678217509;4;4;0;1.6;0.333333333333333;4;0;1
18051;8.07170279117601;4;4;1;1.6;0.333333333333333;4;0;1
18093;0.00128153209960105;2;4;1;0.4;1;1;0;1
18101;11.4240570370823;2;1;0.4;1;0.25;4;0;1
18168;3.53144903517152;2;4;1;1.6;0.5;1;0;1
18333;6.59988360840404;2;2;1;1.8;1;2;0.25;1
18416;11.9590890477696;2;1;1;1.8;0.333333333333333;4;0.5;1
18556;8.93789630936412;2;1;0.4;1;0.333333333333333;3;0;0
18598;0.909077607102429;2;3;0.4;0.8;1;3;0;1
18754;0.00128153209960105;2;4;1;0.4;1;1;0;1
18770;9.5370249762065;2;1;0;0.8;1;0;0;0
19026;0.011800714364343;4;4;1;0.4;1;1;1;1
19042;5.38783441343953;2;1;1;1.6;1;2;0;0
19059;0.011800714364343;4;4;1;0.4;1;1;1;1
19075;0.786370591242193;4;3;1;0.8;1;4;0;1
19257;12.0909860476005;4;1;0.4;1.2;0.5;4;0.25;1
19265;10.6404534251604;4;2;0.4;1.6;0.333333333333333;4;0;1
19398;9.7984300512511;2;1;1;1.2;0.333333333333333;3;1;1
19422;0.00128153209960105;2;4;1;0.4;1;1;0;1
19455;6.31664183452278;0;4;1;1.2;1;3;0.25;1
19463;0.00128153209960105;2;4;1;0.4;1;1;0;1
19513;9.11710136726034;4;3;0;0.8;0.333333333333333;2;0.75;1
19554;4.86229328129661;4;3;1;1.8;1;1;0;0
19612;0.0494309253744953;2;4;1;1.2;1;3;0;1
19653;12.4345222369661;4;2;0.4;1.6;0.5;4;0;1
19745;7.27064323260533;4;2;1;1.8;0.5;4;0;1
19802;10.1543155003915;2;3;1;1.8;0.333333333333333;4;0;1
19935;8.11777535715491;2;3;1;1.6;0.5;3;0.25;1
20131;10.0919731466337;0;2;0.4;0.8;1;3;0;0
20321;0.00128153209960105;2;4;1;0.4;1;1;0;1
20404;9.40051432266073;4;4;1;1.6;0.333333333333333;2;0;1
20594;14.3043279557421;0;1;0;0.4;0.25;1;1;1
20677;10.5523365792828;2;3;0.4;1.2;0.333333333333333;2;0;0
20735;9.59965520374939;4;1;1;1.6;0.5;3;0.25;1
20743;6.47671214627075;2;1;0.4;1;1;0;0;1
20784;11.3865019887995;2;1;0.4;1.4;0.5;4;0;1
20818;9.37368044554763;4;1;0;1;0.5;0;0;0
20826;5.5381997875984;2;1;0.4;0.8;0.25;4;0;1
20933;9.19762482256337;4;1;1;0.6;0.25;4;1;1
