"","ID","meanInvestment","tr1investment","meanInvestment.fu","tr1investment.fu","diffInvest"
"1",10009,14.5,10,15.2,12,0.699999999999999
"2",10017,15.4,16,14.9,10,-0.5
"3",10025,5,3,NA,NA,NA
"4",10041,17.1,10,12.5,15,-4.6
"5",10059,7.9,10,11.3,5,3.4
"6",10067,12.1,8,19.5,20,7.4
"7",10075,17,20,16.7,20,-0.300000000000001
"8",10083,18,20,18,20,0
"9",10091,2.8,3,13.8,10,11
"10",10116,7.9,7,20,20,12.1
"11",10140,1.4,3,5.9,5,4.5
"12",10158,9.2,10,10.5,15,1.3
"13",10174,14,20,9.3,10,-4.7
"14",10182,19.2,12,15.4,12,-3.8
"15",10207,11.7,6,16.8,15,5.1
"16",10215,6.6,15,10.9,16,4.3
"17",10223,14,5,16.8,10,2.8
"18",10265,13.8,10,17.2,16,3.4
"19",10281,8.9,10,9.9,5,1
"20",10299,9.5,12,NA,NA,NA
"21",10306,11.7,5,16.5,10,4.8
"22",10314,10.2,11,NA,NA,NA
"23",10330,8.5,12,NA,NA,NA
"24",10356,5.6,10,NA,NA,NA
"25",10364,20,20,NA,NA,NA
"26",10447,6.7,5,3.3,1,-3.4
"27",10520,13.2,20,5.7,8,-7.5
"28",10570,8.3,11,NA,NA,NA
"29",10629,13.6,15,NA,NA,NA
"30",10679,11.9,8,NA,NA,NA
"31",10695,12,12,13.3,10,1.3
"32",10702,12.9,15,20,20,7.1
"33",10710,14,15,8.3,10,-5.7
"34",10728,19,20,19,20,0
"35",10736,11.9,7,9.8,7,-2.1
"36",10744,10,10,10.8,10,0.800000000000001
"37",10752,7.5,10,NA,NA,NA
"38",10778,19.4,20,NA,NA,NA
"39",10794,9.1,9,9.3,7,0.200000000000001
"40",10801,13.6,5,13.6,10,0
"41",10819,4.3,5,5.4,5,1.1
"42",10827,2.8,2,8.4,10,5.6
"43",10843,10.3,7,12.2,8,1.9
"44",10869,15.9,10,12.6,10,-3.3
"45",10877,8.6,9,NA,NA,NA
"46",10893,12.1,4,12.4,6,0.300000000000001
"47",10900,18.9,20,19.9,20,1
"48",10918,6.6,5,8.8,14,2.2
"49",10975,19,20,18,20,-1
"50",10983,18.8,15,19.7,20,0.899999999999999
"51",11049,14.5,14,18.9,17,4.4
"52",11064,5.2,5,6.2,5,1
"53",11171,12.4,10,1.9,5,-10.5
"54",11239,12.4,8,15,16,2.6
"55",11262,14.2,12,20,20,5.8
"56",11296,9.2,8,8,8,-1.2
"57",11304,17.1,14,17.4,15,0.299999999999997
"58",11312,15.3,10,NA,NA,NA
"59",11320,5.3,8,5.3,6,0
"60",11338,5.5,5,NA,NA,NA
"61",11403,6.5,6,15.9,10,9.4
"62",11429,2.9,3,6.8,5,3.9
"63",11460,17.2,13,NA,NA,NA
"64",11486,15.3,15,8.9,12,-6.4
"65",11544,7.4,8,NA,NA,NA
"66",11551,8.8,8,8.2,10,-0.600000000000001
"67",11619,11.2,10,NA,NA,NA
"68",11627,4.9,3,9,11,4.1
"69",11635,8.3,7,5.1,6,-3.2
"70",11718,4.1,5,1,2,-3.1
"71",11759,8.9,10,NA,NA,NA
"72",11767,12.7,10,NA,NA,NA
"73",11858,10.4,10,15.4,10,5
"74",11874,9.2,7,NA,NA,NA
"75",11882,7.4,3,12,10,4.6
"76",11932,6.2,5,10,10,3.8
"77",11940,4.9,3,16.4,15,11.5
"78",11965,5.2,5,5.5,10,0.3
"79",11981,8.3,5,13.2,8,4.9
"80",12005,13.9,10,10,10,-3.9
"81",12013,4.9,5,5.1,4,0.199999999999999
"82",12070,6.3,5,10.4,5,4.1
"83",12096,11.5,10,17,15,5.5
"84",12161,10.3,5,3.9,6,-6.4
"85",12195,8.1,8,NA,NA,NA
"86",12203,10.6,10,18.7,15,8.1
"87",12211,6.7,7,7.8,6,1.1
"88",12260,7.5,7,10.9,10,3.4
"89",12302,11.3,8,9.2,10,-2.1
"90",12310,10.9,5,9.1,10,-1.8
"91",12385,14.7,12,7.2,11,-7.5
"92",12393,10.1,14,9,15,-1.1
"93",12401,11.1,15,NA,NA,NA
"94",12435,5.8,10,10.1,10,4.3
"95",12500,4.4,5,7.8,6,3.4
"96",12526,14.3,20,7.8,5,-6.5
"97",12534,12.1,10,10.7,6,-1.4
"98",12542,11,8,7.1,10,-3.9
"99",12567,10.6,6,8.1,4,-2.5
"100",12591,15.1,10,14.2,15,-0.9
"101",12658,10.4,5,NA,NA,NA
"102",12682,14.4,13,10.8,12,-3.6
"103",12690,16.2,13,19.5,18,3.3
"104",12757,7,5,8.1,10,1.1
"105",12773,4.3,5,7.6,8,3.3
"106",12799,14.8,12,13.6,14,-1.2
"107",12831,9.2,9,10.2,12,1
"108",12849,11.1,10,9.7,20,-1.4
"109",12948,10.4,10,16.1,10,5.7
"110",13045,11,12,NA,NA,NA
"111",13078,6.5,4,7.5,10,1
"112",13128,13.8,14,13.8,4,0
"113",13144,7.1,15,9.2,10,2.1
"114",13151,10.4,10,NA,NA,NA
"115",13169,14.8,12,7.3,6,-7.5
"116",13177,11.4,10,8.9,10,-2.5
"117",13243,5.5,6,NA,NA,NA
"118",13276,4.4,5,4.5,5,0.0999999999999996
"119",13284,8.2,10,9,10,0.800000000000001
"120",13300,9.1,7,7.2,10,-1.9
"121",13441,8.5,10,10.4,15,1.9
"122",13458,14.4,12,6.1,7,-8.3
"123",13615,4.8,3,14.4,15,9.6
"124",13698,15,15,10.9,8,-4.1
"125",13706,6.7,8,10.2,12,3.5
"126",13979,9,10,4.9,5,-4.1
"127",13995,16.1,12,12.2,5,-3.9
